,Selling Price,MRP,Discount,Rating,Discount_Amount,Discount_Computed_%,Gender,Color,Fit,Product_Type,Print_Type,Category
51,999,2399.0,58.0,4.5,1400.0,58.4,Men,White,Oversized,Shirt,Solid,Topwear
52,1499,3399.0,55.0,4.5,1900.0,55.9,Men,Beige,Oversized,Shirt,Solid,Topwear
53,1699,3699.0,54.0,4.5,2000.0,54.1,Men,Black,Oversized,Shirt,Solid,Topwear
54,1499,3499.0,57.0,4.5,2000.0,57.2,Men,Grey,Oversized,Shirt,Solid,Topwear
55,1499,3499.0,57.0,4.5,2000.0,57.2,Men,White,Oversized,Shirt,Solid,Topwear
56,1699,3499.0,51.0,4.5,1800.0,51.4,Men,Brown,Unknown,Shirt,Solid,Topwear
57,999,2599.0,61.0,4.5,1600.0,61.6,Men,Black,Oversized,Shirt,Printed,Topwear
58,1899,4099.0,53.0,4.5,2200.0,53.7,Men,White,Oversized,Shirt,Solid,Topwear
59,1499,3599.0,58.0,4.5,2100.0,58.3,Men,Orange,Oversized,Shirt,Solid,Topwear
60,1259,2599.0,51.0,4.3,1340.0,51.6,Men,Grey,Oversized,Hoodie,Graphic,Outerwear
61,1149,2999.0,61.0,4.3,1850.0,61.7,Men,Unknown,Oversized,Hoodie,Solid,Outerwear
62,969,2999.0,67.0,4.3,2030.0,67.7,Men,Green,Oversized,Hoodie,Solid,Outerwear
63,1249,3599.0,65.0,4.3,2350.0,65.3,Men,Red,Oversized,Hoodie,Solid,Outerwear
64,1149,3199.0,64.0,4.3,2050.0,64.1,Men,Brown,Oversized,Hoodie,Solid,Outerwear
65,2599,5799.0,55.0,4.3,3200.0,55.2,Men,Black,Unknown,Hoodie,Solid,Outerwear
66,2599,5799.0,55.0,4.3,3200.0,55.2,Men,Grey,Unknown,Hoodie,Solid,Outerwear
67,999,3299.0,69.0,4.3,2300.0,69.7,Men,Unknown,Oversized,Hoodie,Graphic,Outerwear
68,2599,5799.0,55.0,4.3,3200.0,55.2,Men,Brown,Unknown,Hoodie,Solid,Outerwear
69,959,3199.0,70.0,4.3,2240.0,70.0,Men,Black,Oversized,Hoodie,Graphic,Outerwear
70,1089,3999.0,72.0,4.3,2910.0,72.8,Men,Black,Oversized,Hoodie,Typography,Outerwear
71,1199,3399.0,64.0,4.3,2200.0,64.7,Men,Black,Unknown,Hoodie,Graphic,Outerwear
72,1099,3499.0,68.0,4.3,2400.0,68.6,Men,Black,Oversized,Hoodie,Solid,Outerwear
73,1049,3199.0,67.0,4.3,2150.0,67.2,Men,White,Oversized,Hoodie,Graphic,Outerwear
74,849,2599.0,67.0,4.3,1750.0,67.3,Men,Orange,Oversized,Hoodie,Typography,Outerwear
75,849,2499.0,66.0,4.3,1650.0,66.0,Men,White,Oversized,Hoodie,Graphic,Outerwear
76,1829,4599.0,60.0,4.3,2770.0,60.2,Men,Black,Oversized,Hoodie,Solid,Outerwear
77,929,2999.0,69.0,4.3,2070.0,69.0,Men,Pink,Oversized,Hoodie,Solid,Outerwear
78,1799,5399.0,66.0,4.3,3600.0,66.7,Men,Red,Oversized,Hoodie,Graphic,Outerwear
79,2599,5799.0,55.0,4.3,3200.0,55.2,Men,Blue,Unknown,Hoodie,Solid,Outerwear
80,879,2899.0,69.0,4.6,2020.0,69.7,Men,Black,Oversized,Sweatshirt,Graphic,Outerwear
81,879,2899.0,69.0,4.6,2020.0,69.7,Men,Black,Oversized,Sweatshirt,Graphic,Outerwear
82,1119,3899.0,71.0,4.6,2780.0,71.3,Men,Red,Oversized,Sweatshirt,Solid,Outerwear
83,959,2999.0,68.0,4.6,2040.0,68.0,Men,Beige,Oversized,Sweatshirt,Graphic,Outerwear
